,Tweet,Class
126,"internet ve telefonda superonline 'a transfer oldum.20 mgpt sınırsız  internet 44 tl telefon vergiler dahil 7,5 kr sabit ücret yok",positive
127,ŞENER ŞEN CEZA OLGUN ŞİMŞEK Binnur Kaya    sana söylüyorum bu firmanın reklamına çıkmayın YAŞASIN,positive
128,bizde biliriz o çileyi zamanında çektik :) yarın gel sizede superonline alalım,positive
129,I Phone / Turkcell Müzik application.. Mutlaka deneyin...,positive
130,":)) 1,5 saat ise süper.. Normalde atatürkden gidiyorum ama turkcell sunexpress kampanyasından yararlandım ucuza geldi baya :)))",positive
131,"toplu tasima aracinda ""turkcell bemi sesimden tanır"" cilginliginida yapti ya #pes",positive
132,sahan in oynadığı son Turkcell reklamına cok güldüm bsbdbdhdfnbzhgczzvzvzjddhdjdjzg,positive
133,her yöne sms 12 tl bakınız turkcell :D,positive
134,"İphone'un yeni modeli İphone 4S, Turkcell tarafından satışa sunulacak.",positive
135,Hayat paylaşınca güzel. :),positive
136,Divandan dogum gunu pastasi gondermek! Valla sasirdim tesekkurler #turkcell :):),positive
137,Bir adam vardı canı sıkılıyordu. Bir film izledi can sıkıntısı gitti. Eski bir turkcell reklamı :) hey gidi günler,positive
138,""" Turkcell Superonline 1 Milyon Haneye Fiber İnterneti Taşıdı, Sabit Numara Taşımada Lider Oldu.",positive
139,2012de ki sevgililerimi buldum: turkcell (galp) wikipedia (galp) google #finallergeliyorhaci,positive
140,2 Gundur ne TV yayını var ne de internet :( Turkcell mobil internet olmasa ne yapardım acaba :/ ,positive
141,avea dan bana bu ay 250 veya 300 tl fatura gelcek :(( TURKCELL geri dönmeyi düşünüyorum :)),positive
142,superonline mesela :) evet onda da soru oldu ama ttnet kadar insanı baymıyor,positive
143,ah Turkcell'm hemende duydu sesimiii:)),positive
144,bugün bana yaptığın haksızlığı sana hiç unutturmayacağım..hani 150 her yöne kampanyası..artık yaşasın turkcell.seni terkediyom avea..,positive
145,turkcell var üzülme :),positive
146,superonline tabiki :),positive
147,perşembe de bizim olsun malum #gnctrkcll cuma sabahı hallederiz :),positive
148,#yeniyildanistegim paylaşmayı bilen bir Dünya... çünkü hayat paylaşınca güzel :),positive
149,#turkcellfestival Turkcell'in canlı konser için MODEL seçimi çok başarılı olmuş!!! Şarkı sözleri de sound da çok iyi. Aynen devam MODEL!,positive
150,Sadece aradiigimda musteri hizmetlerine ulasabildigim icin turkcell kullanirim avea ve vodafone. Bosuna kampanya vs yapmayin,positive
151,:D Turkcell ile saygı çerçevesinde ve çok düzeyli bir dostluğumuz var bana yapamazlar öyle bişey :D,positive
152,hayat paylaşınca güzel türkselli.,positive
153,fena degil,positive
154,Canli performansiyla 30 aralik cuma gunu saat 15:00'da Turkcell Muzik'te!,positive
155,Bu arada siz sevgili panpişlerime duyurmayi unuttum vodafone un ayricaliklarla dolu dunyasindan turkcell in indirimlerle dolu dunyasina,positive
156,"IDATE raporundan ""Turkcell Superonline 2011'de sunmaya başladığı 1000Mbs hızında fiber internetle Avrupa'da sayılı operatör arasına girdi""",positive
157,"neye uyuz olduysam reklamlarına hayran oldum; cocacola, zaman, turkcell.. reklamcılık harikaları.. :)",positive
158,"Kalp kalbe karşı, şimdi Superonline'ı aradım. Hizmet ve fiyat en iyi oradaymış.",positive
159,"sağlık olsun, büyüyünce bende Turkcell note kullanırım...",positive
160,tabiiki turkcell yurtdisi paketi aldim ;),positive
161,"#hayatpaylasincaguzel Turkcell yine başarılı bir iş yapıyo, yazdıklarımız Sapphire Çarşı'nın önündeki ekranda çıkıyor :))",positive
162,1 sn de nobetci eczaneleri bulup 1 km yakındaki eczaneyi 1 saat aramaya gerek bırakmayan Turkcell pusula uygulaması seviyoruz seni,positive
163,"o zaman neymiş, hayat paylaşınca güzel lallalalllala, paylaşıp çoğalınca güzel lalalallalalala.",positive
164,"Superonline geç ;) Alt yapı varsa sizin oralarda bence fiber internet al, internet neymiş görüceksin ;)",positive
165,Nihayet temiz ve akıcı bir canlı yayın izleyebiliyoruz. Tebrikler...,positive
166,#turkcellmuzik Yaşasın maNga yaşasın Turkcell «§©µ» :),positive
167,O değil de yeniden para yüklemeden Genç Avantaja mı geçsem? Ama Turkcell kalitesi... Ama internet... Of aman ya!,positive
168,444'lü numaraları aramanın en ucuz yolu  THY ile 21.5 dakikalık konuşma sadece 40 kuruş tutmuş :),positive
169,iPhone 4S Turkcell'le Türkiye'de,positive
170,"#BirazYiyecek biraz değil tam hazırlayın, temiz kaplarda yenebilecek şekilde su da hazırlayın,ölmezsiniz korkmayın,hayat paylaşınca güzel.",positive
171,"ya geçip taksitle bir iphone 4S alayım dedim, ilk 12 taksiti tek çekimde peşin istediler. 1400TL peşin vereceksem Turkcell'de kalırım",positive
172,İki biranın verdiği hal ne güzel. Sarhoş gibi değil ama bi adam sen decilik bi boşvermişlik bi hayat paylaşınca güzelcilik. Evet.,positive
173,Turkcell'in premium musterisi olmamama ragmen cihaz temini icin gostermis oldugunuz ozel ilgiden dolayi cok tesekkur ederim.,positive
174,#PazarlamaKonferansi Turkcell Akademi'ye cok tesekkurler!,positive
175,oha amk turkcell bana 2 gündürr bedava konusma hakkı gonderiyo yaklaşık 3 saatlk bedava.,positive
176,"Sahan Gokbakarin oynadigi yeni Turkcell reklami baya iyi. Very sweet you, very beautiful",positive
177,RE:  Türkcell Vınn Çeker Hacılar .. :),positive
178,"Sabah vapurlarında ücretsiz dağıtılan gazeteleri okuyanlar, 1 milyon kişiye ulaştı. Hayat okuduğunu paylaşınca güzel :)",positive
179,ptesi gelsin de bi gnctrkcll yapayım o zaman:)),positive
180,Divane Aşık Gibi: Türkcell Blog Ödülleri'nde Finaldeyiz,positive
181,"""Hayat Paylaşınca Güzel""",positive
182,"Doğum günüm için hediyelerim Turkcell'den Divan'dan pasta,Dominos'tan pizzaya indirim.Beni özel hissettiren başkaları olmalıydı sanki:)",positive
183,turkcell can faturali canan:):),positive
184,Sahanin Turkcell reklamlari gercekten cok komik.,positive
185,superonline cok iyi hele ttnetten sonra baya iyi 3 aydir sorunsuz kullaniorm hic skntı cikarmadi,positive
186,yarın geçn türkcell kullan derim gari..,positive
187,İpeğimin Turkcell'e geçmesine en çok ben sevinmişimdir kesinlikle.Aykutdan daha çok hatta :D,positive
188,"Turkcell Dört çeker, benim ebrum çok şeker :) ben bu fotoya biterimm",positive
189,onun icin gecicem tekrar turkcell'e az kaldi :-D,positive
190,Bu nasıl bi şarkı ya artık favori şarkım :) Turkcell'e başvurup bu şarkıyı çalarken dinlet yapıcam :),positive
191,Turkcell'le bağlan hayata... Turkcell zengin olmasın da kim olsun be,positive
192,Ole bi insan olacaksin ki tcell gbi kaliteli vodafone gbi her yerde cekmeyen avea gbi her gun yeni musteri kazanan .. GNAYDIN ,positive
193,"soz verdigi gibi aradi, gorustuk. Tesekkurler  Umarim en kisa zamanda cozume kavusur sorunumuz",positive
194,hım valla yeni dediğin cuma günü turkcell müzikte saat 15.00 te canlı performansı var başka bişi bilmiyorum:),positive
195,özetle bu akşamımı rezil eden VODAFONE dan artık nefret ediyorum. Turkcell de kazık mazık ama hakkaten kaliteli. donmek gerekiyor,positive
196,turkcell timlerde hizli sarj unitesii var oraya git olum dert ettigin seye bak,positive
197,Bilmediğim acayip turkcell numarası;şu kontorsuz ve dar zamanlarımda mesajlarınla bana destek olduğun ve yalnız bırakmadığın için teşkürler.,positive
198,"hayat paylaşınca güzel "" TURKCELL :))))",positive
199,dıtdıtdırıtdıtt :D of turkcell reklamı aklıma geldi          :D,positive
200,"""Hayat paylaşınca güzel"" Tabi.",positive
201,TurkcellMüzik biraz daha gelişsin fizy yi tamamen bırakıcam söz.,positive
202,"O zaman bi daha sen de öyle davranma, sen ataydın o da iyiydi. Hem turkcell neyine yetmiyo :(",positive
203,yarına gnctrkcll yok..uykum çok pahalıya geliyo zaman..,positive
204,istanbul'dan bolu'ya kadar hiç kopmadan internet keyfini bana yaşatan turkcell 3g'ye sonsuz teşekkürler =).. hizmet budur..,positive
205,yavrum aldım mesajını da turkcell değil misin ki sen? gitmiyo :/,positive
206,"Oh bee sonunda telefonumun hatti acildi! Tesekkurler #turkcell, yilbasi ustu telefonsuz kalinmazdi",positive
207,memnun kaldımda şu turkcell kampanyası tekrar olsun yaw  çok pahalı,positive
208,#Superonline müşteri hizmetleri gerçekten hızlı bir şekilde sorunumu çözdü.,positive
209,hayat paylaşınca güzel canım benim :),positive
210,"#Türkiye Akbankın Axessi Turkcell Cep-T Cüzdanda: Akbank ve Turkcell, ödeme sistemleri ile mobil d...  #SonDakika",positive
211,Sana ne kadar teşekkür etsem azdır Turkcell :),positive
212,turkcell.in böle bi kıyak geçeceği aklımın ucundan geçmezdi,positive
213,valla teknoloji çok ilerledi..kaybolduk ama turkcell çekiyor :)) çok ıssız buralar terk edilmiş gibi...,positive
214,#osesturkiye nurullh ya insana huzur veriyor sesin,positive
215,Bu sabah 05:05'te Turkcell'e numaramın taşınması tamamlanıyormuş. Sen halen komikli şakalı reklamlara devam et Avea :),positive
216,İnovasyonda büyük ödül Turkcell'in!,positive
217,Hayat paylaşınca Güzel:),positive
218,"2011'de en çok hangi marka reklam verdi?    ilk 3 aynı sektor 1-Turkcell, 2-Vodafone, 3- TurkTelekom",positive
219,Turkcell den aradılar iş görüşmesi için yarın cagırdılar geldiye :) aklımda yoktu ama güzel olur gelebilirim,positive
220,Cıkmadan solıyım dun sms yaptiktan sonra baktiim kiiii bedava 100 dk kazanmısım ve arti heryone 300 SMS. Turkcell sms yapmami bekliyomus.,positive
221,Oha yeni yüklediğim araba yarısını çok sevdim lan ilk defa hemen 10 arabadan 1.lige geçebildim azıcık zor da olsa sağol turkcell!,positive
222,"ping 600 ms olurmu? oldu diyelim, müş.hizm.buna normal dermi? yazıklar olsun.. iptal ettireceğim.. Turkcell Superonline a var..",positive
223,hadı hep bırlıkte ıphone 4 e gecelım   bıze sponsor olsun :),positive
224,hayata bağlan turkcelleeeee,positive
225,numaramı turkcell'e mi taşısam acaba,positive
226,"ben ttnet kullanıyorum ama bence superonline daha iyi -,-",positive
227,"Manga Konseri harikydı.Acun Ilıcalı'ya,Manga'ya ve Turkcell'e teşekkür ediyorum.",positive
228,servis sağlayıcın geçiriyosa android'in suçu ne? ki turkcell'den gayet memnunum ama vodafone'un sınırsız paketleri de var makul,positive
229,Gayet tabii :) Turkcell aylik 7tl ile internet ve bbm kullanimi sagliyor.Butun bb uygulamalarini da o paketle kullanabiliyorsun.,positive
230,keşke bugün Süreyya Ciliv in ödül töreninde bulunma şansım olsaydı,positive
231,Turkcell Yeni yildizini bulmus,positive
232,İnovasyonda büyük ödül Turkcell'in,positive
233,Cok sukur bb'mi kurtardi Turkcell,positive
234,ama sonunda turkcell bayiine götürmeniz daha iyi olur diyorlar. :),positive
235,turkcell hayatımdakı kolaylık ondan :),positive
236,"evet, guzel olmus.",positive
237,turkcell internet sitesinde detayli aciklama var ordan bakabilirsin,positive
238,zaten iletişim kalitesi çok kötü. Ben hiç memnun kalmadım Avea dan. Türkcell pahalı hizmet iyi,positive
239,Huzur bereket sukunet,positive
240,#TurklereOzguDavranislar pazartesi persembe turkcell sınema gunu gelsede sınemaya gıtsek dıye beklemek,positive
241,hayat paylaşınca güzel,positive
242,#turkcellmuzik Konser İçin Çok Teşekkürler ! Turkcell &amp; Manga !,positive
243,kopuyoruz Alperenle :D Teşekkürler Turkcell :D,positive
244,Bu türkcell beni seviyor. Yoksa 13.13ten başka msj atacak zaman mı yok.,positive
245,"Hayat paylaşınca güzel lalala lay laay la lay. Bir gün iyi oluyorsun, öteki gün melenkolik ruh halinde.",positive
246,"Bi turkcell calisani olarak soylemek istedim Superonline=Turkcell ,hizmet kalitemzden hic suphe yok:)tabiki superonline",positive
247,Off ne yazık ki turkcell müzik sahensindeki konserinize gelemeyeceğim cunku okulum var off.Sizi ÇOOOK seviyoruuuuuum!,positive
248,Kahve dünyası ile yaptığınız kampanya süper hiç bitmesinnn:seviyorum seni turkcell):):),positive
249,aynen :) kos bi turkcell al hemen:),positive
250,2 buçuk aydır tanımayan turkcell beni sesimden tanımış bulunmaktadır!! bunu kutlamalı.,positive
251,avea kullanmaya devam edersen daha çoooook koparsın. TURKCELL le bağlan hayataa :),positive
252,benim dikkatimi turkcell cekti huyumdan sanirim hep zirvedekiler dikkatimi ceker ve  takip ederim:),positive
253,Superonline warken TTnet e laf dusmez bence.. siddetle tawsiye ederim..,positive
254,"capstone'u boşverip superonline'a başladım şuan,,ah ahh",positive
255,hayat paylaşınca güzel ebruş :)))),positive
256,ya diyorum sana bizim baba gelmicek bu sene bana dedi sen halledersin bana söyle isteklerini hem benim hat turkcell :),positive
257,'e yasattigimiz super musteri deneyimi icin onurlu ve gururluyuz. ( Turkcell Superonline),positive
258,Paylaşma muhabbetinden dolayı Turkcell'in makarasını yaptım ama vapurda gazete rafı olayı çok iyi oldu. Yancılık kurumu hala yaşıyor ama :),positive
259,bize gec turkcell e :))),positive
260,"Oyle huzurluyum ki, Turkcell bile ariza cikarmadi bu kez, o derece! :))",positive
261,hattin ne? Turkcell I tavsiye ederim degilsen eger ben tr e tasittim direk memnunum :),positive
262,"Yatak aldim, yorgan ve yastigi Turkcell verdi :)",positive
263,ganga superonline alsın o yea :D,positive
264,Benım bedava sms hakkım var turkcell bana yenı yıl hedıyeesınıı erken yollamıss serefsızzz hahahah,positive
265,#turkcell #ozturkmatik reklami allah belanizi vermesin!! Vapurda deli gibi guldurdun beni...,positive
266,abi gnctrkcll 2 bilet 8tl mi yaptın ? pazartesi sinemaya gittiğine göre :D,positive
267,Hayat paylaşınca güzel Hayatım :)),positive
268,evet yeniden pin alacağım sırf bbm için :D turkcell hat alacağım :),positive
269,Beni bir tek dusunen turkcell ahey ahey,positive
270,bitanesinnnnnnnnnnnnnn:D #turkcell,positive
271,5326833306 nolu hattımın ipone4 s kontratlı tekliften yararlanmak istiyorum teşekkürler,positive
272,yeni laptop ile superonline bağlanınca görecem seni :D,positive
273,her zaman heryerden böyle,positive
274,hayat paylaşınca güzel nara naa naa na na turkcel ceo suyum ben :),positive
275,"Sadece mutluluk vaadi veren reklamlardan baydim.Bana daha yaratici reklam mesajlariyla gel. Bkz. Eti, Coca-Cola, Turkcell",positive
276,aıle operatorumuz turkcell :D,positive
277,Çok basit bir maile bile dönüş yaparak tüm sorularıma cevap veren Superonline müşteri hizmetlerini kutluyorum. #supersinsuperonline,positive
278,HAYAT PAYLAŞINCA GÜZEL...GERİSİ TEFERRUAT...,positive
279,superonline'a geç hayatını yaşa :P,positive
280,turkcell sun exspres arasindaki anlasmaya bi goz at hemen fiyatlar yari yariya ;),positive
281,CocaCola ve Turkcell'in reklamcilarini alinlarindan opmek istiyorum,positive
282,bis paketi hakkında bilgi istiyorum,positive
283,Hayat paylaşınca güzel lalalalalalalalalalaaaaaaaaaaaa :D,positive
284,Karşıyaka da 10 bin daire turkcell superonline ile tanışmaya hazır. son 4 gün.,positive
285,İyi ki Turkcell'in hava durumu paketine aboneyim. O da olmasa kim mesaj atacak bana,positive
286,Bugün turkcell müzik konserlerinde  Manga'yla birlikteyiz saat 15:00 itibariyle Manga sizlerle iyi seyirler  (www.turkcellmuzik.com),positive
287,emme benimki Turkcell olanlar düşünsün:))),positive
288,Cnm turkcell magazalarnda ve diger telefn magazalarnda satılıo :)),positive
289,askıım bu ay acıcam bı turkcell e geciyim de,positive
290,beni bekleyen dogumgunu pastam icin cok tesekkurler,positive
291,o değilde ben turkcell reklamında zamanın selocanlarındandım yani ona göre,positive
292,bıde turkcell cekmıo derler dımı sed (:,positive
293,tutturamadim ya. Kahretsin. Turkcell daha iyi tabii :D,positive
294,Can sıkıntısından ölmek üzereyim. Turkcell-im mi ne varya onun gibi birşey gelsede kurtulsam...,positive
295,maNga Turkcell muzik.com'da saat 15:00'te.,positive
296,#bukutudanevar bu  nin en sağlam reklamı oldu   #turkcell,positive
297,Sayın Süreyya Ciliv'in teşekkür konuşmasındaki mesajı netti; 'Siz değerli öğrenciler içinizdeki potansiyeli keşfedin ve kendinize güvenin!',positive
